axis,metric,episode_id,seed,step_0,step_1,step_2,step_3,step_4,step_5,final_cart_err,success_5cm,success_10cm,latent_dist_0,latent_dist_1,latent_dist_2,latent_dist_3,latent_dist_4,latent_dist_5
y,cosine,8,50.0,0.20431216009748618,0.18694158622841353,0.16257584394778182,0.10317231155205418,0.09528811593664646,0.09983145736908221,0.09983145736908221,False,True,0.3926953971385956,0.46231740713119507,0.4697086215019226,0.41593295335769653,0.38083118200302124,0.3883066773414612
y,cosine,9,51.0,0.20431216009748618,0.18686470269092975,0.1622336072141584,0.10687516769095048,0.09521661994629967,0.09766232669388658,0.09766232669388658,False,True,0.39274275302886963,0.46193909645080566,0.4669104814529419,0.4081575274467468,0.3805892765522003,0.38422495126724243
z,cosine,0,42.0,0.22899341523494027,0.19165633930648696,0.18495704580776684,0.20100485882911207,0.19311199820050345,0.18737546380778047,0.18737546380778047,False,False,0.33970996737480164,0.29085785150527954,0.24680334329605103,0.2617662250995636,0.2502138614654541,0.23571427166461945
z,cosine,1,43.0,0.22899341523494027,0.1918600176875624,0.18546638820125597,0.20106866005549862,0.1993464674344451,0.19019417843207256,0.19019417843207256,False,False,0.33985525369644165,0.29058828949928284,0.2506929039955139,0.2570732831954956,0.25219932198524475,0.23872679471969604
z,cosine,2,44.0,0.22899341523494027,0.1920163103442356,0.1847287061185384,0.20005269482826837,0.19620092989248383,0.19420723122995653,0.19420723122995653,False,False,0.33970028162002563,0.28988829255104065,0.2552955150604248,0.2606610059738159,0.25969335436820984,0.24363018572330475
z,cosine,3,45.0,0.22899341523494027,0.19143422620069686,0.18257626623622303,0.2030787928850786,0.2057421908093386,0.2141775081673265,0.2141775081673265,False,False,0.33989301323890686,0.2874772548675537,0.2518436014652252,0.26956939697265625,0.2521946132183075,0.2627866268157959
z,cosine,4,46.0,0.22899341523494027,0.1917069609099163,0.18784931354489418,0.1980475888740483,0.22655093783798474,0.24491772052479502,0.24491772052479502,False,False,0.33969587087631226,0.28990650177001953,0.26061776280403137,0.2763447165489197,0.23660966753959656,0.24214409291744232
z,cosine,5,47.0,0.22899341523494027,0.19204258403517013,0.1886983086433749,0.19972261373443614,0.22716777635426733,0.23970222590240864,0.23970222590240864,False,False,0.3396874666213989,0.29211825132369995,0.259452223777771,0.2770644724369049,0.22831562161445618,0.22088831663131714
z,cosine,6,48.0,0.22899341523494027,0.19179479997720797,0.1844185949497503,0.19733937752111433,0.19296932168353717,0.19073211789981168,0.19073211789981168,False,False,0.33974355459213257,0.2887647747993469,0.2457386702299118,0.26224392652511597,0.252636581659317,0.24528110027313232
z,cosine,7,49.0,0.22899341523494027,0.19170776458705596,0.18764900445750898,0.1948830713736529,0.194077285877662,0.19215450622462277,0.19215450622462277,False,False,0.33973437547683716,0.2889776825904846,0.25593432784080505,0.2712211608886719,0.24076566100120544,0.24295631051063538
z,cosine,8,50.0,0.22899341523494027,0.19204976410986435,0.18634069778829054,0.1921310593879874,0.2220887066311547,0.2290706688017112,0.2290706688017112,False,False,0.33948564529418945,0.289646178483963,0.25590017437934875,0.2584978938102722,0.21246765553951263,0.2343645989894867
z,cosine,9,51.0,0.22899341523494027,0.19152907817288659,0.18173272633719126,0.1990414454305985,0.1932134034194006,0.193566473765385,0.193566473765385,False,False,0.3398929238319397,0.2913442850112915,0.24629302322864532,0.2559177577495575,0.25838789343833923,0.24552252888679504
x,norm_l1,0,42.0,0.2299687030636974,0.19800517179044616,0.21534400319698516,0.20084252600897098,0.17167227383934275,0.16139398628076282,0.16139398628076282,False,False,4.4864068031311035,4.228304386138916,3.9057235717773438,3.7166876792907715,3.6919093132019043,3.678496837615967
x,norm_l1,1,43.0,0.2299687030636974,0.19795991366729068,0.21453966824858164,0.20639290773994443,0.16434036067919083,0.15742431986072297,0.15742431986072297,False,False,4.486435890197754,4.239171028137207,3.925940990447998,3.7606022357940674,3.5840580463409424,3.6725354194641113
x,norm_l1,2,44.0,0.2299687030636974,0.1980778143740776,0.21531728994174007,0.196896179454776,0.16723985337980382,0.16107992772598534,0.16107992772598534,False,False,4.486202716827393,4.2411980628967285,3.8842685222625732,3.6853599548339844,3.6465139389038086,3.6352415084838867
x,norm_l1,3,45.0,0.2299687030636974,0.19792648576092076,0.21501868018662845,0.19860984922907193,0.17013646112664238,0.1640829435776128,0.1640829435776128,False,False,4.485531330108643,4.226356506347656,3.915567636489868,3.7238194942474365,3.654284954071045,3.6981360912323
x,norm_l1,4,46.0,0.2299687030636974,0.19795785634927068,0.21460039063797534,0.19858686618772187,0.16913460552712573,0.16106258852113414,0.16106258852113414,False,False,4.485396862030029,4.23568058013916,3.9250316619873047,3.7270023822784424,3.654550790786743,3.6399688720703125
x,norm_l1,5,47.0,0.2299687030636974,0.1979653231108557,0.2139899696176878,0.19638886349351573,0.16448666062585052,0.16106533249737243,0.16106533249737243,False,False,4.485180377960205,4.2371368408203125,3.8736255168914795,3.6207096576690674,3.5978758335113525,3.629774808883667
x,norm_l1,6,48.0,0.2299687030636974,0.19805048890469193,0.2159420453092729,0.20095973905924386,0.17000897058362452,0.1627203098079329,0.1627203098079329,False,False,4.485404968261719,4.234967231750488,3.903346061706543,3.724343776702881,3.6475629806518555,3.6249446868896484
x,norm_l1,7,49.0,0.2299687030636974,0.19784430981540002,0.21435855963036024,0.19588576793792745,0.16904658575130704,0.1655849064421675,0.1655849064421675,False,False,4.485918045043945,4.226239204406738,3.9053823947906494,3.6654865741729736,3.654025077819824,3.5894579887390137
x,norm_l1,8,50.0,0.2299687030636974,0.1979941515771793,0.21480735617695318,0.20285574050700061,0.17254735508426472,0.15315855003079903,0.15315855003079903,False,False,4.486765384674072,4.239373207092285,3.919853687286377,3.7177257537841797,3.607944965362549,3.542297124862671
x,norm_l1,9,51.0,0.2299687030636974,0.19797908298324832,0.21432051114192904,0.21061414920803084,0.17183251899263174,0.15467075359929133,0.15467075359929133,False,False,4.486185550689697,4.229884147644043,3.9267005920410156,3.8447837829589844,3.6091597080230713,3.6109371185302734
y,norm_l1,0,42.0,0.20431216009748618,0.18737192464634841,0.12632928805343804,0.11306163099571571,0.09637732766510826,0.09460940729561701,0.09460940729561701,False,True,4.165302276611328,4.490992069244385,4.27857780456543,4.3044633865356445,4.158952236175537,4.1421732902526855
y,norm_l1,1,43.0,0.20431216009748618,0.1875032554810243,0.16031124699625768,0.1106606765162724,0.09789471128534716,0.09343468046198523,0.09343468046198523,False,True,4.16470193862915,4.485769748687744,4.528794288635254,4.286616325378418,4.133365154266357,4.132168292999268
y,norm_l1,2,44.0,0.20431216009748618,0.1874711720397916,0.15882401827525033,0.10938965483451575,0.09523295726736981,0.09858702148445762,0.09858702148445762,False,True,4.163025856018066,4.486849308013916,4.543236255645752,4.288702011108398,4.098535537719727,4.1674346923828125
y,norm_l1,3,45.0,0.20431216009748618,0.1871732177791343,0.10612151332365269,0.10737127555698013,0.09685964198997095,0.09524902835627187,0.09524902835627187,False,True,4.165653228759766,4.492138862609863,4.106354713439941,4.286139011383057,4.106832504272461,4.145044803619385
