target_pos,target_distance,initial_distance,start_ee_pos,final_ee_pos,absolute_error,relative_error,max_distance_during_trajectory,min_distance_during_trajectory,ik_err_norm,ik_steps,ik_success,joint_displacement,num_trajectory_steps,radius,sample_idx
"[0.003880269808435338, 0.29696352600112585, 1.004857344472179]",0.050000000000000024,0.050000000000000024,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.005639574847255236, 0.2705442833747626, 0.9813838773510555]",0.03538467456197284,0.7076934912394565,0.04999332623569798,0.031181756480221538,1.8657095513780737e-05,2,True,0.237478757919341,1751,0.05,43
"[0.047926069698115935, 0.31214929891363613, 0.9883230898528524]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.045421174065332644, 0.28444032572914224, 0.9639779229239647]",0.03696956653607869,0.7393913307215736,0.04998708909838309,0.032449493335199836,4.3226891317478547e-05,2,True,0.14027522043305082,1751,0.05,44
"[0.04306925230614937, 0.37551422518855343, 1.012426076058957]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04123840080549908, 0.347142276564009, 0.980790942922376]",0.04253352953306868,0.8506705906613737,0.08307827888785459,0.04253352953306868,3.073217558722727e-05,2,True,0.09964228567862778,1751,0.05,45
"[0.01338321018950241, 0.29513078980542434, 0.9972293170936071]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.014163841767172752, 0.2683761430662912, 0.9742321957984256]",0.03528863975362544,0.7057727950725088,0.049987864183053565,0.027852106494631646,9.73138274701325e-06,2,True,0.21580612064758228,1751,0.05,46
"[0.016590592376009964, 0.2950770673635076, 0.9904811569730966]",0.05000000000000003,0.05000000000000003,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.01696912978437721, 0.26801165398001353, 0.9677947643044128]",0.035317875141444466,0.7063575028288889,0.04998365402781841,0.024787942796202566,5.93130459704902e-06,2,True,0.1916809511435794,1751,0.05,47
"[-0.038945281015178614, 0.33759765265037256, 0.9838556991725125]",0.049999999999999996,0.049999999999999996,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.034475147750072606, 0.30914288881037644, 0.9574542106964626]",0.03907293526661071,0.7814587053322143,0.05741020487926804,0.03870351464786373,1.2075127930170923e-05,2,True,0.11086270727303787,1751,0.05,48
"[0.04065257717794945, 0.3495739398761476, 0.951890740035988]",0.04999999999999998,0.04999999999999998,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.03835727055517562, 0.3190258326246079, 0.9251951517983916]",0.040633849442249674,0.8126769888449937,0.04997693306306841,0.035184010601810735,1.6534027237698335e-05,2,True,0.18312114124493942,1751,0.05,49
"[0.0571914586404129, 0.3540775761101044, 1.0047426384630356]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.05421034916419741, 0.3259377537369027, 0.9755084887751098]",0.04068626457271024,0.8137252914542046,0.07244965845923515,0.040685917154160665,2.37173068264623e-05,2,True,0.10385837983061064,1751,0.05,50
"[-0.009645556637893047, 0.3906009424948241, 0.9919586664531278]",0.049999999999999996,0.049999999999999996,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.008007078166691025, 0.3607324958380738, 0.9595099728166031]",0.04413305378177185,0.882661075635437,0.08194166067019154,0.04413305378177185,1.613624960390547e-05,2,True,0.1741926811446337,1751,0.05,51
"[0.04619032030357166, 0.3209041837662273, 0.966030820251545]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04357252878134908, 0.29195469366252336, 0.9417848757289848]",0.03785223422084008,0.7570446844168014,0.049976292739985925,0.028037942763664975,3.1126948061175586e-05,2,True,0.10010804876626546,1751,0.05,52
